keep,place_id,name,rating,review_count,price_level,primary_type,types,areas,queries,address,maps_url
"","ChIJ43PT27Z9MEAR_qvrceJ9Q4w","Firuze restaurant","4.5","9296","","Azerbaijani restaurant","Azerbaijani restaurant|Azerbaijani restaurant|Restaurant","centre","Azerbaijani restaurant","14 Tarlan Aliyarbeyov St, Baku 1005, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Firuze%20restaurant&query_place_id=ChIJ43PT27Z9MEAR_qvrceJ9Q4w"
"","ChIJiyD90LZ9MEARjLeu0ZPZDxk","Dolma Restaurant","4.5","5804","","Restaurant","Restaurant|Restaurant|Chicken restaurant|Dessert restaurant|Diner|Family restaurant|Fast food restaurant|Fish & chips restaurant|Kebab shop|Pizza restaurant","centre","Azerbaijani restaurant","8M, Mammadamin Rasul-Zadeh, Baku 1001, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Dolma%20Restaurant&query_place_id=ChIJiyD90LZ9MEARjLeu0ZPZDxk"
"","ChIJCd5BK7F9MEARODQ77DkYh_Q","Nərgiz Restoran","4.7","5723","","Azerbaijani restaurant","Azerbaijani restaurant|Azerbaijani restaurant|Restaurant","centre","Azerbaijani restaurant","Fountain Square, 9 Tərlan Əliyarbəyov, Bakı 1000, Azerbaijan","https://www.google.com/maps/search/?api=1&query=N%C9%99rgiz%20Restoran&query_place_id=ChIJCd5BK7F9MEARODQ77DkYh_Q"
"","ChIJk9Z6kql9MEARfYoUjYh-roI","Anadolu Restaurant","4.7","5382","","Turkish restaurant","Turkish restaurant|Turkish restaurant|Azerbaijani restaurant|Eastern European restaurant|Halal restaurant","centre","Azerbaijani restaurant","5 Alexander Pushkin, Baku 1010, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Anadolu%20Restaurant&query_place_id=ChIJk9Z6kql9MEARfYoUjYh-roI"
"","ChIJc-TtOYF9OkARBfzN2p6VJCQ","Fairmont Baku Flame Towers","4.8","5144","","Restaurant","Restaurant|Restaurant|Hotel","centre","rooftop restaurant","Azərbaycan, 1A Mehdi Hüseyn Küçəsi, Baku 1006, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Fairmont%20Baku%20Flame%20Towers&query_place_id=ChIJc-TtOYF9OkARBfzN2p6VJCQ"
"","ChIJkSG0DbF9MEARyJ41KVfvT08","MALACANNES - Shisha Lounge","4.9","4746","","Hookah bar","Hookah bar|Hookah bar|Cocktail bar|Restaurant|Lounge bar","centre","hookah lounge","Avtomobil dayanacağı - Molokan bağı, 11 Rasul Rza, Bakı 1005, Azerbaijan","https://www.google.com/maps/search/?api=1&query=MALACANNES%20-%20Shisha%20Lounge&query_place_id=ChIJkSG0DbF9MEARyJ41KVfvT08"
"","ChIJV4LrFDl9MEARapfh5dnoM-I","Xəngəlation Gürcü Xəngəli Restoranı","4.9","4576","","Restaurant","Restaurant|Restaurant|Diner","centre","Georgian restaurant","Istiglaliyyat St, Baku 1001, Azerbaijan","https://www.google.com/maps/search/?api=1&query=X%C9%99ng%C9%99lation%20G%C3%BCrc%C3%BC%20X%C9%99ng%C9%99li%20Restoran%C4%B1&query_place_id=ChIJV4LrFDl9MEARapfh5dnoM-I"
"","ChIJVcX4RqZ9MEAR8_D6yKMvGYQ","Maharani Indian Restaurant","4.7","3961","","Indian restaurant","Indian restaurant|Indian restaurant","centre","Indian restaurant","Bədəlbəyli, 100 A Shamsi Badalbeyli St, Baku 1000, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Maharani%20Indian%20Restaurant&query_place_id=ChIJVcX4RqZ9MEAR8_D6yKMvGYQ"
"","ChIJd7NLa7d9MEAR_WmwMqRcLNA","Sharg restaurant","4.8","3248","","Restaurant","Restaurant|Restaurant|Family restaurant|Seafood restaurant","centre","rooftop restaurant","15 Karabagh Street, Baku 1008, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Sharg%20restaurant&query_place_id=ChIJd7NLa7d9MEAR_WmwMqRcLNA"
"","ChIJHwwaYdB9MEAROApr1tpHl6Y","Caravan Baku","4.8","3209","","Hookah bar","Hookah bar|Hookah bar|Restaurant","centre","hookah lounge","79 Nizami St, Baku 1000, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Caravan%20Baku&query_place_id=ChIJHwwaYdB9MEAROApr1tpHl6Y"
"","ChIJ90o4XrZ9MEARO9C-iT1hxQY","Qala Divari","4.8","2953","","Restaurant","Restaurant|Restaurant|Diner|European restaurant|Kebab shop","centre","qutab","124 Kichik Qala, Bakı 1001, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Qala%20Divari&query_place_id=ChIJ90o4XrZ9MEARO9C-iT1hxQY"
