keep,place_id,name,establishment_type,rating,review_count,price_level,primary_type,areas,address,maps_url
"1","ChIJ43PT27Z9MEAR_qvrceJ9Q4w","Firuze restaurant","restaurant","4.5","9296","","Azerbaijani restaurant","centre","14 Tarlan Aliyarbeyov St, Baku 1005, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Firuze%20restaurant&query_place_id=ChIJ43PT27Z9MEAR_qvrceJ9Q4w"
"1","ChIJiyD90LZ9MEARjLeu0ZPZDxk","Dolma Restaurant","restaurant","4.5","5804","","Restaurant","centre","8M, Mammadamin Rasul-Zadeh, Baku 1001, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Dolma%20Restaurant&query_place_id=ChIJiyD90LZ9MEARjLeu0ZPZDxk"
"1","ChIJCd5BK7F9MEARODQ77DkYh_Q","Nərgiz Restoran","restaurant","4.7","5723","","Azerbaijani restaurant","centre","Fountain Square, 9 Tərlan Əliyarbəyov, Bakı 1000, Azerbaijan","https://www.google.com/maps/search/?api=1&query=N%C9%99rgiz%20Restoran&query_place_id=ChIJCd5BK7F9MEARODQ77DkYh_Q"
"1","ChIJk9Z6kql9MEARfYoUjYh-roI","Anadolu Restaurant","restaurant","4.7","5382","","Turkish restaurant","centre","5 Alexander Pushkin, Baku 1010, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Anadolu%20Restaurant&query_place_id=ChIJk9Z6kql9MEARfYoUjYh-roI"
"1","ChIJkSG0DbF9MEARyJ41KVfvT08","MALACANNES - Shisha Lounge","lounge_hookah","4.9","4746","","Hookah bar","centre","Avtomobil dayanacağı - Molokan bağı, 11 Rasul Rza, Bakı 1005, Azerbaijan","https://www.google.com/maps/search/?api=1&query=MALACANNES%20-%20Shisha%20Lounge&query_place_id=ChIJkSG0DbF9MEARyJ41KVfvT08"
"1","ChIJV4LrFDl9MEARapfh5dnoM-I","Xəngəlation Gürcü Xəngəli Restoranı","restaurant","4.9","4576","","Restaurant","centre","Istiglaliyyat St, Baku 1001, Azerbaijan","https://www.google.com/maps/search/?api=1&query=X%C9%99ng%C9%99lation%20G%C3%BCrc%C3%BC%20X%C9%99ng%C9%99li%20Restoran%C4%B1&query_place_id=ChIJV4LrFDl9MEARapfh5dnoM-I"
"1","ChIJVcX4RqZ9MEAR8_D6yKMvGYQ","Maharani Indian Restaurant","restaurant","4.7","3961","","Indian restaurant","centre","Bədəlbəyli, 100 A Shamsi Badalbeyli St, Baku 1000, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Maharani%20Indian%20Restaurant&query_place_id=ChIJVcX4RqZ9MEAR8_D6yKMvGYQ"
"1","ChIJd7NLa7d9MEAR_WmwMqRcLNA","Sharg restaurant","restaurant","4.8","3248","","Restaurant","centre","15 Karabagh Street, Baku 1008, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Sharg%20restaurant&query_place_id=ChIJd7NLa7d9MEAR_WmwMqRcLNA"
"1","ChIJHwwaYdB9MEAROApr1tpHl6Y","Caravan Baku","lounge_hookah","4.8","3209","","Hookah bar","centre","79 Nizami St, Baku 1000, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Caravan%20Baku&query_place_id=ChIJHwwaYdB9MEAROApr1tpHl6Y"
"1","ChIJ90o4XrZ9MEARO9C-iT1hxQY","Qala Divari","restaurant","4.8","2953","","Restaurant","centre","124 Kichik Qala, Bakı 1001, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Qala%20Divari&query_place_id=ChIJ90o4XrZ9MEARO9C-iT1hxQY"
"1","ChIJNUnbYLB9MEARXZtBv210hQk","Central Baku","restaurant","4.5","2887","","Restaurant","centre","75 Nizami St, Baku 1005, Azerbaijan","https://www.google.com/maps/search/?api=1&query=Central%20Baku&query_place_id=ChIJNUnbYLB9MEARXZtBv210hQk"
